Participant (n°),,POV,Ordre,Training,,,,,,Salle 1,,,,,Nbr Obj,Salle 2,,,,,Nbr Obj,Salle 3,,,,,Nbr Obj,Salle 4,,,,,Nbr Obj,Salle 5,,,,,Nbr Obj,Salle 6,,,,,Nbr Obj,Moyenne des rappels par salle
,,,,1,2,3,4,5,,1,2,3,4,5,,1,2,3,4,5,,1,2,3,4,5,,1,2,3,4,5,,1,2,3,4,5,,1,2,3,4,5,,
1,a,1,1,,,,,,,banane,ski,casquette,,,3,poisson,montgolfière,radio,,,3,tortue,ananas,vélo,chaussure,,4,oeuf,cafetière,,,,2,brosse à dents,tupperware,peluche,,,3,tente,cafetière,,,,2,"2,833333333"
5,b,1,1,dauphin,radio,extincteur,,,,banane,,,,,1,poisson,bague,montgolfière,,,3,ananas,tortue,chaussure,clef,,4,oeuf,,,,,1,,,,,,0,chien,souris,tente,diamant,,4,"2,166666667"
9,c,1,1,,,,,,,horloge,banane,,,,2,radio,montgolfière,bague,poisson,,4,ananas,tortue,,,,2,rubik's,oeuf,,,,2,peluche,,,,,1,tente,mallette,diamant,chien,,4,"2,5"
13,d,1,1,dauphin,skateboard,appareil photo,extincteur,,,,,,,,0,bague,poisson,radio,montgolfière,,4,vélo,tortue,ananas,clef,,4,oeuf,,,,,1,peluche,cactus,lunettes,,,3,souris,chien,tente,,,3,"2,5"
17,e,1,1,dauphin,skateboard,dé,,,,horloge,casquette,banane,,,3,poisson,radio,montgolfière,cafetière,,4,ananas,tortue,clef,vélo,chaussure,5,rubik's ,parapluie,,,,2,peluche ,brosse à dents,tupperware,cactus,,4,tente,,,,,1,"3,166666667"
21,f,1,1,dauphin,,,,,,banane,,,,,1,,,,,,0,ananas,clef,tortue,chaussure,,4,oeuf,,,,,1,,,,,,0,,,,,,0,1
3,g,1,2,dauphin,,,,,,banane,,,,,1,radio,montgolfière,poisson,,,3,tortue,ananas,vélo,clef,,4,cadenas,oeuf,,,,2,lunettes ,brosse à dents ,cactus,tupperware,,4,tente,souris,chien,,,3,"2,833333333"
7,h,1,2,dé ,dauphin,,,,,banane ,casquette,,,,2,radio,poisson,montgolfière,,,3,ananas,clef,vélo,tortue,,4,rubik's,roue,,,,2,peluche,,,,,1,diamant,souris,tente,,,3,"2,5"
11,y,1,2,skateboard,dé,,,,,banane,casquette,,,,2,poisson,,,,,1,tortue ,ananas,clef,vélo,chaussure,5,roue,oeuf,cadenas,,,3,lunettes,peluche,brosse à dents,tupperware,cactus,5,chien,diamant,mallette,tente,,4,"3,333333333"
15,j,1,2,dé ,dauphin,,,,,casquette,horloge,,,,2,montgolfière,poisson,bague,radio,cafetière,5,ananas,tortue,chaussure,vélo,,4,,,,,,0,peluche,lunettes,brosse à dents,,,3,tente,mallette,chien,souris,,4,3
19,k,1,2,dauphin,skateboard,extincteur,,,,horloge,casquette,ski,,,2,montgolfière,radio,,,,2,ananas,vélo,tortue,,,3,parapluie,roue,,,,2,brosse à dents ,tupperware,lunettes,peluche,cactus,5,chien,tente,souris,,,3,"2,833333333"
2,l,2,1,dauphin,dé,skateboard,,,,casquette,,,,,1,poisson,horloge ,radio,,,3,chaussure,vélo,,,,2,,,,,,0,brosse à dents,peluche,lunettes,,,3,mallette,tente,,,,2,"1,833333333"
6,m,2,1,dauphin,,,,,,banane,ski,casquette,,,3,montgolfière,poisson,radio,,,3,tortue,chaussure,vélo,clef,ananas,5,oeuf,roue,,,,2,tupperware,cactus,brosse à dents,peluche,,4,chien,tente,diamant,mallette,,4,"3,5"
